Date,DCS,VC,Desc1,Attr,Size,Item#,Last Sold,OHQty,OHExtP$,SoldQty,SoldExtP$,SoldM%,Str,PercentStockSold
4/24/2013,APPH&H,MANZEL,GLOVE SPR TOUCH TIP,BLK,M/L,35278,4/13/2013,1,21.99,1,21.99,53.98,TC2,
4/24/2013,APPH&H,MANZEL,GLOVE SPR TOUCH TIP,BLK,M/L,35278,4/13/2013,1,21.99,0,0,0,AAW,
4/24/2013,APPH&H,MANZEL,GLOVE SPR TOUCH TIP,BLK,L/XL,35280,4/19/2013,-1,-21.99,0,0,0,AA,
4/24/2013,APPH&H,MANZEL,GLOVE SPR TOUCH TIP,BLK,L/XL,35280,4/19/2013,4,87.96,1,21.99,53.98,NVL,
4/24/2013,APPH&H,MANZEL,GLOVE SPR TOUCH TIP,BLK,L/XL,35280,4/19/2013,-6,-131.94,1,10.99,7.92,WB,
4/24/2013,APPH&H,MANZEL,GLOVE SPR TOUCH TIP,BLK,L/XL,35280,4/19/2013,5,109.95,0,0,0,TC2,
4/24/2013,APPH&H,MANZEL,GLOVE SPR TOUCH TIP,BLK,L/XL,35280,4/19/2013,1,21.99,0,0,0,TC1,
4/24/2013,APPH&H,MANZEL,GLOVE SPR TOUCH TIP,BLK,L/XL,35280,4/19/2013,5,109.95,0,0,0,AAW,
4/24/2013,APPJACM,ILLUMI,JKT TRIATHLON,LIME,M,35284,4/9/2013,1,75.99,0,0,0,AA,
4/24/2013,APPJACM,ILLUMI,JKT TRIATHLON,LIME,M,35284,4/9/2013,2,151.98,0,0,0,NOV,
4/24/2013,APPJACM,ILLUMI,JKT TRIATHLON,LIME,M,35284,4/9/2013,1,75.99,0,0,0,NVL,
4/24/2013,APPJACM,ILLUMI,JKT TRIATHLON,LIME,M,35284,4/9/2013,0,0,1,60.79,39.2,TC1,
4/24/2013,APPJACM,ILLUMI,JKT TRIATHLON,LIME,M,35284,4/9/2013,9,683.91,0,0,0,AAW,
4/24/2013,APPVESM,ILLUMI,VEST TRIATHLON,LIME,S,35290,2/17/2013,2,139.98,0,0,0,AA,
4/24/2013,APPVESM,ILLUMI,VEST TRIATHLON,LIME,S,35290,2/17/2013,1,69.99,0,0,0,NOV,
4/24/2013,APPVESM,ILLUMI,VEST TRIATHLON,LIME,S,35290,2/17/2013,1,69.99,0,0,0,TC1,
4/24/2013,APPVESM,ILLUMI,VEST TRIATHLON,LIME,S,35290,2/17/2013,8,559.92,0,0,0,AAW,
4/24/2013,APPVESM,ILLUMI,VEST TRIATHLON,LIME,M,35291,3/20/2013,6,419.94,0,0,0,AA,
4/24/2013,APPVESM,ILLUMI,VEST TRIATHLON,LIME,M,35291,3/20/2013,4,279.96,0,0,0,NOV,
4/24/2013,APPVESM,ILLUMI,VEST TRIATHLON,LIME,M,35291,3/20/2013,5,349.95,0,0,0,WB,
4/24/2013,APPVESM,ILLUMI,VEST TRIATHLON,LIME,M,35291,3/20/2013,4,279.96,0,0,0,TC1,
4/24/2013,APPVESM,ILLUMI,VEST TRIATHLON,LIME,M,35291,3/20/2013,15,"1,049.85",0,0,0,AAW,
4/24/2013,APPVESM,ILLUMI,VEST TRIATHLON,LIME,L,35292,3/17/2013,1,69.99,0,0,0,AA,
4/24/2013,APPVESM,ILLUMI,VEST TRIATHLON,LIME,L,35292,3/17/2013,1,69.99,0,0,0,WB,
4/24/2013,APPVESM,ILLUMI,VEST TRIATHLON,LIME,L,35292,3/17/2013,1,69.99,0,0,0,AAW,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,315,M,35299,9/22/2012,2,79.98,0,0,0,AA,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,315,M,35299,9/22/2012,2,79.98,0,0,0,NOV,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,315,L,35300,,1,39.99,0,0,0,AA,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,315,L,35300,,1,39.99,0,0,0,NOV,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,315,L,35300,,1,39.99,0,0,0,NVL,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,315,L,35300,,1,39.99,0,0,0,WB,
4/24/2013,APPH&H,MIZUNO,GLOVE/ARM WARMER BT,9090,L,35302,4/21/2013,-2,-59.98,1,26.99,50.69,NVL,
4/24/2013,APPH&H,MIZUNO,GLOVE/ARM WARMER BT,9090,L,35302,4/21/2013,0,0,1,14.99,11.41,WB,
4/24/2013,APPH&H,MIZUNO,GLOVE/ARM WARMER BT,9090,L,35302,4/21/2013,12,359.88,0,0,0,AAW,
4/24/2013,APPSHIM,MIZUNO,TOP BT STRETCH CREW,9054,S,35314,,1,59.99,0,0,0,AAW,
4/24/2013,APPH&H,TRAILH,MITT GIRL HND WRM,BLU/BLK,WOM,35315,2/11/2012,2,29.98,0,0,0,AA,
4/24/2013,APPH&H,TRAILH,MITT GIRL HND WRM,BLU/BLK,WOM,35315,2/11/2012,1,14.99,0,0,0,AAW,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,M,35316,4/23/2013,1,34.99,0,0,0,AA,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,M,35316,4/23/2013,2,69.98,0,0,0,NOV,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,M,35316,4/23/2013,4,139.96,0,0,0,NVL,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,M,35316,4/23/2013,3,104.97,0,0,0,TC2,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,M,35316,4/23/2013,5,174.95,1,17.49,8.69,AAW,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,L,35317,4/5/2013,1,34.99,1,24.49,36.22,AA,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,L,35317,4/5/2013,4,139.96,0,0,0,NOV,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,L,35317,4/5/2013,4,139.96,0,0,0,NVL,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,L,35317,4/5/2013,2,69.98,0,0,0,TC2,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,XL,35318,4/17/2013,5,174.95,0,0,0,AA,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,XL,35318,4/17/2013,6,209.94,0,0,0,NOV,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,XL,35318,4/17/2013,5,174.95,0,0,0,NVL,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,XL,35318,4/17/2013,0,0,1,34.99,53.99,WB,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,XL,35318,4/17/2013,5,174.95,0,0,0,TC2,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,XL,35318,4/17/2013,3,104.97,0,0,0,AAW,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,S,35319,3/1/2013,1,34.99,0,0,0,AA,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,S,35319,3/1/2013,1,34.99,0,0,0,TC2,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,M,35320,3/24/2013,3,104.97,0,0,0,AA,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,M,35320,3/24/2013,2,69.98,0,0,0,NOV,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,M,35320,3/24/2013,4,139.96,0,0,0,NVL,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,M,35320,3/24/2013,0,0,-1,-34.99,53.99,WB,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,M,35320,3/24/2013,1,34.99,0,0,0,TC2,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,M,35320,3/24/2013,1,34.99,0,0,0,AAW,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,L,35321,3/17/2013,3,104.97,0,0,0,AA,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,L,35321,3/17/2013,2,69.98,0,0,0,NOV,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,L,35321,3/17/2013,3,104.97,0,0,0,NVL,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,L,35321,3/17/2013,1,34.99,0,0,0,TC2,
4/24/2013,APPH&H,MANZEL,MITT HATCHBACK,HIY,L,35321,3/17/2013,2,69.98,0,0,0,AAW,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,322,S,35365,,3,119.97,0,0,0,AA,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,322,S,35365,,3,119.97,0,0,0,NOV,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,322,S,35365,,3,119.97,0,0,0,NVL,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,322,S,35365,,3,119.97,0,0,0,WB,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,322,S,35365,,3,119.97,0,0,0,TC2,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,322,S,35365,,3,119.97,0,0,0,TC1,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,322,S,35365,,3,119.97,0,0,0,AAW,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,322,M,35366,,3,119.97,0,0,0,AA,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,322,M,35366,,3,119.97,0,0,0,NOV,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,322,M,35366,,3,119.97,0,0,0,NVL,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,322,M,35366,,3,119.97,0,0,0,WB,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,322,M,35366,,3,119.97,0,0,0,TC2,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,322,M,35366,,3,119.97,0,0,0,TC1,
4/24/2013,APPSUPM,CW-X,CALF SLEEVE COMPRSN,322,M,35366,,3,119.97,0,0,0,AAW,
